"","CASE_STATUS","PW_SKILL_LEVEL","WAGE_OFFER_UNIT_OF_PAY","MINIMUM_EDUCATION","REQUIRED_EXPERIENCE","ACCEPT_ALT_OCCUPATION","FOREIGN_LANGUAGE_REQUIRED","PROFESSIONAL_OCCUPATION","COUNTRY_OF_CITIZENSHIP","CLASS_OF_ADMISSION","FOREIGN_WORKER_EDUCATION","FOREIGN_WORKER_YRS_SINCE_ED","FOREIGN_WORKER_ED_INST_US","FOREIGN_WORKER_REQ_EXPERIENCE","FOREIGN_WORKER_EXP_WITH_EMPL","FOREIGN_WORKER_CURR_EMPLOYED","EMPLOYER_COMPLETED_APPLICATION","WAITING_PERIOD","PW_WAGE_HOURLY"
"82",1,1,1,"Other",0,0,0,1,"INDIA","UNK","Other",6,"0","N/A","UNK",1,0,221,54.1
"83",1,2,1,"Bachelor's",1,1,0,1,"INDIA","H-1B","Bachelor's",9,"0","Y","0",1,0,155,61.1600961538462
"84",1,2,1,"Other",0,0,0,1,"JAPAN","H-1B","Other",6,"1","N/A","UNK",1,0,216,71.7701923076923
"85",1,2,1,"Master's",0,0,0,1,"VENEZUELA","E-2","Master's",4,"1","N/A","0",1,1,297,30.2
"86",1,1,1,"Bachelor's",1,1,0,1,"INDIA","F-1","Master's",1,"1","N","0",1,0,140,44.2798076923077
"87",1,4,1,"Master's",1,1,0,1,"BRAZIL","L-1","Master's",9,"1","N","0",1,0,179,66.5100961538461
"88",1,4,1,"Bachelor's",1,1,0,1,"INDIA","H-1B","Bachelor's",17,"0","N","0",1,0,210,64.8701923076923
"89",1,1,1,"Bachelor's",1,1,0,1,"UKRAINE","L-1","Bachelor's",20,"0","N","0",1,0,228,29.8399038461538
"90",1,0,1,"Bachelor's",0,1,0,1,"INDIA","H-1B","Master's",13,"1","N/A","0",1,0,214,44.76875
"91",1,2,1,"Master's",1,1,0,1,"INDIA","H-1B","Master's",5,"1","Y","0",1,0,218,58.85
"92",1,2,1,"Master's",0,1,0,1,"INDIA","H-1B","Master's",7,"1","N/A","0",1,0,175,49.1100961538462
"93",1,4,1,"Master's",1,1,0,1,"INDIA","H-1B","Master's",6,"1","N","0",1,0,219,55.2701923076923
"94",1,2,1,"Master's",1,1,0,1,"PAKISTAN","F-1","Master's",2,"1","N","0",1,0,170,35.5798076923077
"95",1,2,1,"Master's",1,1,0,1,"INDIA","H-1B","Bachelor's",13,"0","N","0",1,0,183,37.1798076923077
"96",1,2,1,"Master's",0,1,0,1,"INDIA","H-1B","Master's",17,"0","N/A","0",1,0,173,48.15
"97",1,1,1,"Bachelor's",0,0,0,1,"SOUTH KOREA","Not in USA","Bachelor's",6,"1","N/A","UNK",0,0,161,21.8899038461538
"98",1,4,1,"Bachelor's",1,1,0,1,"INDIA","H-1B","Bachelor's",29,"0","Y","0",1,0,168,81.5201923076923
"99",1,2,1,"Bachelor's",1,1,0,1,"INDIA","H-1B","Bachelor's",12,"0","Y","0",1,1,262,30.5
"100",1,2,1,"Master's",0,0,0,1,"INDIA","H-1B","Master's",4,"1","N/A","UNK",1,0,167,41.3298076923077
"101",1,4,1,"Bachelor's",0,1,0,1,"INDIA","H-1B","Bachelor's",13,"0","N/A","0",1,0,182,83
"102",1,4,1,"Bachelor's",1,1,0,1,"INDIA","H-1B","Other",15,"0","Y","0",1,0,163,82.3298076923077
"103",1,2,1,"Master's",0,0,0,1,"INDIA","UNK","Master's",5,"1","N/A","UNK",1,0,358,46.4399038461538
"104",1,2,1,"Master's",1,1,0,1,"INDIA","H-1B","Master's",5,"1","Y","0",1,0,175,46.8298076923077
"105",1,3,1,"Master's",0,0,0,1,"INDIA","H-1B","Master's",2,"1","N/A","UNK",1,0,139,45.75
"106",1,2,1,"Master's",0,0,0,1,"INDIA","H-1B","Master's",5,"1","N/A","UNK",1,0,193,35.9701923076923
"107",1,3,1,"Master's",1,1,0,1,"INDIA","F-1","Master's",2,"1","Y","0",1,0,174,46.7600961538462
"108",1,2,1,"Master's",1,1,0,1,"INDIA","H-1B","Master's",8,"1","N","0",1,0,190,56.6201923076923
"109",1,4,1,"Bachelor's",1,1,0,1,"INDIA","Not in USA","Master's",9,"0","N","0",1,0,162,55.2701923076923
"110",1,0,1,"Doctorate",0,0,0,0,"CANADA","H-1B","Doctorate",7,"0","N/A","UNK",1,0,229,46.6346153846154
"111",1,4,1,"Bachelor's",0,1,0,1,"MEXICO","TN","Bachelor's",12,"0","N/A","0",1,0,136,51.2399038461538
"112",1,1,1,"Doctorate",0,0,0,0,"INDIA","H-1B","Doctorate",1,"1","N/A","UNK",1,1,158,24.4663461538462
"113",1,4,1,"Bachelor's",0,1,0,1,"CANADA","TN","Bachelor's",8,"0","N/A","0",1,0,220,57.0201923076923
"114",1,4,1,"Bachelor's",1,1,0,1,"INDIA","H-1B","Master's",14,"0","N","0",1,0,175,49.0100961538462
"115",1,0,1,"Master's",1,1,0,1,"MALAYSIA","L-1","Bachelor's",15,"0","N","0",1,0,179,74.5399038461538
"116",1,2,1,"Doctorate",0,1,0,1,"CHINA","H-1B","Other",3,"1","N/A","0",1,0,189,49.8399038461538
"117",1,2,1,"Master's",0,0,0,1,"CHINA","H-1B","Master's",2,"1","N/A","0",1,0,185,53.6701923076923
"118",1,1,1,"Bachelor's",1,1,0,1,"INDIA","H-1B","Master's",4,"1","N","UNK",1,0,206,26.9
"119",1,1,1,"Bachelor's",1,1,0,1,"CHINA","H-1B","Master's",2,"1","N","0",1,0,130,44.2798076923077
"120",1,2,1,"Bachelor's",0,1,0,1,"INDIA","H-1B","Master's",12,"0","N/A","0",1,0,216,39.3899038461538
"121",1,0,1,"Master's",1,1,0,1,"INDIA","H-1B","Master's",22,"0","N","0",1,0,210,62.4240384615385
"122",1,1,1,"Bachelor's",1,0,0,1,"BRAZIL","UNK","High School",23,"0","Y","0",0,0,289,13.1399038461538
"123",1,2,1,"Master's",0,0,0,1,"CHINA","H-1B","Master's",3,"1","N/A","0",1,0,186,58.1399038461538
"124",1,2,1,"Bachelor's",1,1,1,1,"CHINA","H-1B","Master's",6,"1","Y","0",1,0,355,33.3591346153846
"125",1,2,1,"Bachelor's",1,1,0,1,"INDIA","H-1B","Master's",4,"1","N","0",1,0,181,54.5100961538462
"126",1,2,1,"Master's",1,1,0,1,"CHINA","H-1B","Master's",6,"1","N","0",1,0,143,29.1201923076923
"127",1,4,1,"Bachelor's",0,1,0,1,"CANADA","L-1","Master's",7,"0","N/A","UNK",1,0,205,48.4399038461538
